12/25/2023 18:59:21 27.31C, 27.06C, 27.56C, 27.00C, 26.63C, 26.81C
12/25/2023 18:59:24 27.25C, 27.06C, 27.50C, 26.94C, 26.56C, 26.81C
12/25/2023 18:59:27 27.25C, 27.06C, 27.56C, 26.94C, 26.56C, 26.81C
12/25/2023 18:59:29 27.25C, 27.00C, 27.50C, 26.94C, 26.63C, 26.81C
12/25/2023 18:59:32 27.25C, 27.06C, 27.50C, 26.94C, 26.56C, 26.81C
12/25/2023 18:59:34 27.25C, 27.00C, 27.56C, 26.94C, 26.56C, 26.81C
12/25/2023 18:59:36 27.19C, 27.00C, 27.50C, 26.94C, 26.56C, 26.81C
12/25/2023 18:59:39 27.19C, 27.00C, 27.50C, 26.94C, 26.56C, 26.75C
12/25/2023 18:59:41 27.19C, 27.00C, 27.50C, 26.94C, 26.56C, 26.75C
12/25/2023 18:59:44 27.13C, 27.00C, 27.50C, 26.88C, 26.56C, 26.75C
12/25/2023 18:59:46 27.13C, 27.00C, 27.44C, 26.94C, 26.56C, 26.75C
12/25/2023 18:59:49 27.19C, 27.00C, 27.44C, 26.88C, 26.50C, 26.75C
12/25/2023 18:59:51 27.13C, 27.00C, 27.44C, 26.88C, 26.56C, 26.75C
12/25/2023 18:59:53 27.19C, 27.00C, 27.44C, 26.88C, 26.50C, 26.75C
12/25/2023 18:59:56 27.13C, 27.00C, 27.44C, 26.94C, 26.56C, 26.75C
12/25/2023 18:59:58 27.25C, 27.00C, 27.50C, 27.00C, 26.56C, 26.81C
12/25/2023 19:00:01 27.25C, 27.06C, 27.50C, 27.00C, 26.63C, 26.81C
12/25/2023 19:00:03 27.38C, 27.13C, 27.56C, 27.06C, 26.69C, 26.88C
12/25/2023 19:00:05 27.44C, 27.19C, 27.63C, 27.13C, 26.75C, 26.94C
12/25/2023 19:00:08 27.50C, 27.25C, 27.69C, 27.19C, 26.75C, 27.00C
12/25/2023 19:00:10 27.63C, 27.31C, 27.81C, 27.25C, 26.81C, 27.06C
12/25/2023 19:00:13 27.75C, 27.38C, 27.88C, 27.31C, 26.94C, 27.19C
12/25/2023 19:00:15 27.88C, 27.44C, 27.94C, 27.38C, 27.00C, 27.25C
12/25/2023 19:00:18 27.94C, 27.50C, 28.00C, 27.44C, 27.06C, 27.31C
12/25/2023 19:00:20 28.06C, 27.56C, 28.13C, 27.50C, 27.19C, 27.38C
12/25/2023 19:00:22 28.19C, 27.63C, 28.19C, 27.56C, 27.25C, 27.44C
12/25/2023 19:00:25 28.38C, 27.75C, 28.31C, 27.69C, 27.31C, 27.56C
12/25/2023 19:00:27 28.44C, 27.81C, 28.44C, 27.75C, 27.38C, 27.63C
12/25/2023 19:00:30 28.63C, 27.94C, 28.50C, 27.81C, 27.44C, 27.69C
12/25/2023 19:00:32 28.75C, 28.00C, 28.63C, 27.88C, 27.50C, 27.75C
12/25/2023 19:00:35 28.88C, 28.06C, 28.75C, 27.94C, 27.63C, 27.81C
12/25/2023 19:00:37 29.00C, 28.13C, 28.88C, 28.00C, 27.69C, 27.94C
12/25/2023 19:00:39 29.13C, 28.25C, 28.94C, 28.13C, 27.75C, 28.00C
12/25/2023 19:00:42 29.19C, 28.31C, 29.06C, 28.19C, 27.81C, 28.00C
12/25/2023 19:00:44 29.38C, 28.38C, 29.19C, 28.25C, 27.94C, 28.13C
12/25/2023 19:00:47 29.50C, 28.50C, 29.31C, 28.31C, 27.94C, 28.19C
12/25/2023 19:00:49 29.63C, 28.56C, 29.38C, 28.38C, 28.06C, 28.25C
12/25/2023 19:00:51 29.75C, 28.63C, 29.50C, 28.44C, 28.13C, 28.31C
12/25/2023 19:00:54 29.81C, 28.69C, 29.63C, 28.56C, 28.19C, 28.38C
12/25/2023 19:00:56 29.94C, 28.81C, 29.75C, 28.63C, 28.25C, 28.38C
12/25/2023 19:00:59 30.00C, 28.88C, 29.81C, 28.69C, 28.31C, 28.50C
12/25/2023 19:01:01 30.13C, 28.94C, 29.94C, 28.75C, 28.38C, 28.56C
12/25/2023 19:01:04 30.25C, 29.00C, 30.00C, 28.81C, 28.44C, 28.63C
12/25/2023 19:01:06 30.38C, 29.06C, 30.13C, 28.88C, 28.44C, 28.69C
12/25/2023 19:01:08 30.44C, 29.13C, 30.19C, 28.94C, 28.50C, 28.75C
12/25/2023 19:01:11 30.56C, 29.25C, 30.38C, 29.00C, 28.56C, 28.75C
12/25/2023 19:01:13 30.63C, 29.25C, 30.44C, 29.06C, 28.63C, 28.88C
12/25/2023 19:01:16 30.75C, 29.38C, 30.56C, 29.13C, 28.69C, 28.88C
12/25/2023 19:01:18 30.88C, 29.44C, 30.63C, 29.19C, 28.81C, 28.94C
12/25/2023 19:01:21 30.94C, 29.50C, 30.75C, 29.25C, 28.81C, 29.00C
12/25/2023 19:01:23 31.06C, 29.56C, 30.81C, 29.31C, 28.88C, 29.06C
12/25/2023 19:01:25 31.13C, 29.63C, 30.94C, 29.38C, 28.94C, 29.13C
12/25/2023 19:01:28 31.19C, 29.69C, 31.00C, 29.44C, 28.94C, 29.13C
12/25/2023 19:01:30 31.31C, 29.75C, 31.13C, 29.50C, 29.00C, 29.25C
12/25/2023 19:01:33 31.38C, 29.81C, 31.19C, 29.56C, 29.06C, 29.25C
12/25/2023 19:01:35 31.44C, 29.81C, 31.31C, 29.56C, 29.13C, 29.31C
12/25/2023 19:01:37 31.50C, 29.88C, 31.38C, 29.63C, 29.13C, 29.38C
12/25/2023 19:01:40 31.56C, 29.94C, 31.50C, 29.69C, 29.19C, 29.44C
12/25/2023 19:01:42 31.63C, 30.00C, 31.56C, 29.75C, 29.25C, 29.50C
12/25/2023 19:01:45 31.75C, 30.06C, 31.69C, 29.81C, 29.25C, 29.50C
12/25/2023 19:01:47 31.88C, 30.13C, 31.69C, 29.88C, 29.38C, 29.56C
12/25/2023 19:01:50 31.94C, 30.19C, 31.81C, 29.88C, 29.38C, 29.63C
12/25/2023 19:01:52 32.00C, 30.19C, 31.94C, 29.94C, 29.44C, 29.63C
12/25/2023 19:01:54 32.00C, 30.25C, 32.00C, 30.00C, 29.50C, 29.69C
12/25/2023 19:01:57 32.13C, 30.31C, 32.06C, 30.06C, 29.50C, 29.75C
12/25/2023 19:01:59 32.19C, 30.38C, 32.13C, 30.06C, 29.56C, 29.81C
12/25/2023 19:02:02 32.25C, 30.44C, 32.25C, 30.13C, 29.63C, 29.81C
12/25/2023 19:02:04 32.25C, 30.44C, 32.31C, 30.19C, 29.63C, 29.88C
12/25/2023 19:02:07 32.38C, 30.50C, 32.38C, 30.25C, 29.69C, 29.94C
12/25/2023 19:02:09 32.38C, 30.56C, 32.44C, 30.25C, 29.75C, 29.94C
12/25/2023 19:02:11 32.50C, 30.63C, 32.50C, 30.31C, 29.75C, 30.00C
12/25/2023 19:02:14 32.56C, 30.69C, 32.63C, 30.38C, 29.75C, 30.06C
12/25/2023 19:02:16 32.56C, 30.69C, 32.69C, 30.44C, 29.81C, 30.06C
12/25/2023 19:02:19 32.63C, 30.75C, 32.75C, 30.44C, 29.81C, 30.13C
12/25/2023 19:02:21 32.69C, 30.75C, 32.81C, 30.50C, 29.88C, 30.13C
12/25/2023 19:02:23 32.75C, 30.81C, 32.88C, 30.50C, 29.94C, 30.19C
12/25/2023 19:02:26 32.81C, 30.88C, 32.94C, 30.56C, 30.00C, 30.25C
