01/11/2024 01:58:38 23.75C, 22.50C, 24.00C, 23.44C, 23.50C, 23.38C
01/11/2024 01:58:40 23.81C, 22.50C, 24.00C, 23.44C, 23.50C, 23.38C
01/11/2024 01:58:43 23.75C, 22.50C, 24.00C, 23.44C, 23.50C, 23.38C
01/11/2024 01:58:46 23.81C, 22.50C, 24.00C, 23.44C, 23.50C, 23.38C
01/11/2024 01:58:48 23.81C, 22.50C, 24.00C, 23.44C, 23.50C, 23.38C
01/11/2024 01:58:50 23.81C, 22.50C, 24.00C, 23.44C, 23.50C, 23.38C
01/11/2024 01:58:53 23.81C, 22.50C, 24.00C, 23.50C, 23.50C, 23.38C
01/11/2024 01:58:55 23.81C, 22.50C, 24.00C, 23.44C, 23.50C, 23.38C
01/11/2024 01:58:58 23.81C, 22.50C, 24.00C, 23.44C, 23.50C, 23.31C
01/11/2024 01:59:00 23.81C, 22.50C, 24.00C, 23.44C, 23.50C, 23.38C
01/11/2024 01:59:02 23.88C, 22.56C, 24.00C, 23.50C, 23.50C, 23.38C
01/11/2024 01:59:05 23.88C, 22.56C, 24.06C, 23.50C, 23.56C, 23.38C
01/11/2024 01:59:07 23.94C, 22.63C, 24.06C, 23.56C, 23.56C, 23.38C
01/11/2024 01:59:10 23.94C, 22.69C, 24.13C, 23.63C, 23.63C, 23.44C
01/11/2024 01:59:12 24.06C, 22.75C, 24.19C, 23.69C, 23.69C, 23.50C
01/11/2024 01:59:15 24.13C, 22.81C, 24.25C, 23.75C, 23.75C, 23.50C
01/11/2024 01:59:17 24.25C, 22.88C, 24.38C, 23.81C, 23.81C, 23.63C
01/11/2024 01:59:19 24.38C, 23.00C, 24.44C, 23.94C, 23.94C, 23.63C
01/11/2024 01:59:22 24.44C, 23.06C, 24.56C, 24.00C, 24.00C, 23.75C
01/11/2024 01:59:24 24.56C, 23.13C, 24.63C, 24.06C, 24.13C, 23.81C
01/11/2024 01:59:27 24.63C, 23.19C, 24.75C, 24.19C, 24.25C, 23.88C
01/11/2024 01:59:29 24.75C, 23.31C, 24.88C, 24.31C, 24.38C, 24.00C
01/11/2024 01:59:32 24.88C, 23.38C, 24.94C, 24.38C, 24.50C, 24.06C
01/11/2024 01:59:34 25.00C, 23.50C, 25.06C, 24.50C, 24.63C, 24.13C
01/11/2024 01:59:36 25.13C, 23.63C, 25.19C, 24.63C, 24.75C, 24.25C
01/11/2024 01:59:39 25.25C, 23.75C, 25.31C, 24.75C, 24.88C, 24.31C
01/11/2024 01:59:41 25.38C, 23.81C, 25.38C, 24.88C, 25.00C, 24.44C
01/11/2024 01:59:44 25.50C, 23.88C, 25.56C, 24.94C, 25.13C, 24.50C
01/11/2024 01:59:46 25.63C, 24.00C, 25.63C, 25.06C, 25.25C, 24.63C
01/11/2024 01:59:48 25.75C, 24.13C, 25.81C, 25.19C, 25.38C, 24.69C
01/11/2024 01:59:51 25.88C, 24.19C, 25.88C, 25.31C, 25.50C, 24.81C
01/11/2024 01:59:53 25.94C, 24.31C, 26.00C, 25.44C, 25.63C, 24.88C
01/11/2024 01:59:56 26.06C, 24.44C, 26.13C, 25.50C, 25.75C, 25.00C
01/11/2024 01:59:58 26.19C, 24.50C, 26.25C, 25.63C, 25.88C, 25.06C
01/11/2024 02:00:01 26.31C, 24.63C, 26.38C, 25.75C, 26.00C, 25.13C
01/11/2024 02:00:03 26.44C, 24.75C, 26.44C, 25.88C, 26.13C, 25.25C
01/11/2024 02:00:05 26.56C, 24.81C, 26.56C, 26.00C, 26.25C, 25.31C
01/11/2024 02:00:08 26.69C, 24.94C, 26.69C, 26.13C, 26.38C, 25.38C
01/11/2024 02:00:10 26.75C, 25.06C, 26.75C, 26.25C, 26.50C, 25.50C
01/11/2024 02:00:13 26.88C, 25.13C, 26.88C, 26.31C, 26.63C, 25.56C
01/11/2024 02:00:15 27.00C, 25.25C, 27.00C, 26.44C, 26.75C, 25.63C
01/11/2024 02:00:18 27.13C, 25.38C, 27.13C, 26.56C, 26.81C, 25.69C
01/11/2024 02:00:20 27.19C, 25.50C, 27.19C, 26.69C, 26.94C, 25.75C
01/11/2024 02:00:22 27.31C, 25.56C, 27.31C, 26.81C, 27.06C, 25.81C
01/11/2024 02:00:25 27.44C, 25.63C, 27.38C, 26.94C, 27.19C, 25.94C
01/11/2024 02:00:27 27.50C, 25.75C, 27.50C, 27.00C, 27.31C, 26.00C
01/11/2024 02:00:30 27.63C, 25.88C, 27.63C, 27.13C, 27.38C, 26.00C
01/11/2024 02:00:32 27.69C, 25.94C, 27.69C, 27.25C, 27.44C, 26.13C
01/11/2024 02:00:34 27.75C, 26.06C, 27.81C, 27.38C, 27.56C, 26.19C
01/11/2024 02:00:37 27.81C, 26.13C, 27.88C, 27.44C, 27.69C, 26.25C
01/11/2024 02:00:39 27.94C, 26.25C, 28.00C, 27.56C, 27.75C, 26.25C
01/11/2024 02:00:42 28.00C, 26.31C, 28.06C, 27.63C, 27.88C, 26.38C
01/11/2024 02:00:44 28.13C, 26.38C, 28.13C, 27.75C, 27.94C, 26.44C
01/11/2024 02:00:47 28.19C, 26.50C, 28.25C, 27.88C, 28.06C, 26.50C
01/11/2024 02:00:49 28.31C, 26.56C, 28.31C, 27.94C, 28.19C, 26.56C
01/11/2024 02:00:51 28.38C, 26.69C, 28.44C, 28.06C, 28.25C, 26.56C
01/11/2024 02:00:54 28.44C, 26.75C, 28.50C, 28.13C, 28.31C, 26.63C
01/11/2024 02:00:56 28.50C, 26.88C, 28.56C, 28.25C, 28.44C, 26.69C
01/11/2024 02:00:59 28.56C, 26.88C, 28.69C, 28.31C, 28.50C, 26.75C
01/11/2024 02:01:01 28.69C, 27.00C, 28.69C, 28.38C, 28.56C, 26.81C
01/11/2024 02:01:04 28.69C, 27.06C, 28.75C, 28.50C, 28.69C, 26.88C
01/11/2024 02:01:06 28.81C, 27.19C, 28.81C, 28.56C, 28.75C, 26.94C
01/11/2024 02:01:08 28.88C, 27.25C, 28.94C, 28.63C, 28.88C, 26.94C
01/11/2024 02:01:11 28.94C, 27.38C, 29.00C, 28.75C, 28.94C, 27.00C
01/11/2024 02:01:13 29.00C, 27.44C, 29.00C, 28.75C, 29.00C, 27.06C
01/11/2024 02:01:16 29.06C, 27.50C, 29.13C, 28.88C, 29.13C, 27.13C
01/11/2024 02:01:18 29.13C, 27.56C, 29.13C, 28.94C, 29.13C, 27.13C
01/11/2024 02:01:20 29.19C, 27.63C, 29.25C, 29.00C, 29.25C, 27.19C
01/11/2024 02:01:23 29.25C, 27.69C, 29.31C, 29.13C, 29.31C, 27.25C
01/11/2024 02:01:25 29.31C, 27.75C, 29.38C, 29.19C, 29.38C, 27.25C
01/11/2024 02:01:28 29.31C, 27.88C, 29.38C, 29.25C, 29.44C, 27.31C
01/11/2024 02:01:30 29.38C, 27.94C, 29.44C, 29.31C, 29.50C, 27.31C
01/11/2024 02:01:33 29.44C, 28.00C, 29.56C, 29.38C, 29.56C, 27.38C
01/11/2024 02:01:35 29.50C, 28.06C, 29.56C, 29.44C, 29.63C, 27.44C
01/11/2024 02:01:37 29.56C, 28.19C, 29.63C, 29.50C, 29.75C, 27.44C
01/11/2024 02:01:40 29.63C, 28.19C, 29.69C, 29.56C, 29.75C, 27.50C
01/11/2024 02:01:42 29.63C, 28.31C, 29.69C, 29.69C, 29.88C, 27.56C
01/11/2024 02:01:45 29.69C, 28.38C, 29.75C, 29.75C, 29.88C, 27.56C
01/11/2024 02:01:47 29.75C, 28.44C, 29.81C, 29.75C, 29.94C, 27.63C
01/11/2024 02:01:49 29.75C, 28.50C, 29.88C, 29.88C, 30.00C, 27.63C
01/11/2024 02:01:52 29.88C, 28.56C, 29.94C, 29.94C, 30.06C, 27.69C
01/11/2024 02:01:54 29.88C, 28.63C, 29.94C, 30.00C, 30.13C, 27.69C
01/11/2024 02:01:57 29.94C, 28.69C, 30.00C, 30.06C, 30.13C, 27.75C
01/11/2024 02:01:59 30.00C, 28.75C, 30.06C, 30.13C, 30.19C, 27.81C
01/11/2024 02:02:02 30.06C, 28.81C, 30.06C, 30.19C, 30.25C, 27.81C
01/11/2024 02:02:04 30.13C, 28.88C, 30.13C, 30.19C, 30.31C, 27.81C
01/11/2024 02:02:06 30.13C, 28.94C, 30.19C, 30.25C, 30.38C, 27.88C
01/11/2024 02:02:09 30.19C, 29.00C, 30.19C, 30.31C, 30.44C, 27.88C
01/11/2024 02:02:11 30.19C, 29.06C, 30.25C, 30.38C, 30.50C, 27.94C
01/11/2024 02:02:14 30.25C, 29.06C, 30.31C, 30.44C, 30.50C, 27.94C
01/11/2024 02:02:16 30.31C, 29.19C, 30.31C, 30.50C, 30.63C, 28.00C
01/11/2024 02:02:19 30.31C, 29.25C, 30.38C, 30.56C, 30.63C, 28.00C
01/11/2024 02:02:21 30.38C, 29.25C, 30.44C, 30.56C, 30.69C, 28.00C
01/11/2024 02:02:23 30.38C, 29.31C, 30.44C, 30.63C, 30.75C, 28.06C
01/11/2024 02:02:26 30.44C, 29.38C, 30.50C, 30.69C, 30.81C, 28.06C
01/11/2024 02:02:28 30.50C, 29.44C, 30.50C, 30.75C, 30.81C, 28.06C
01/11/2024 02:02:31 30.50C, 29.50C, 30.56C, 30.75C, 30.88C, 28.13C
01/11/2024 02:02:33 30.56C, 29.50C, 30.56C, 30.81C, 30.94C, 28.13C
01/11/2024 02:02:36 30.56C, 29.63C, 30.63C, 30.88C, 31.00C, 28.19C
01/11/2024 02:02:38 30.63C, 29.63C, 30.63C, 30.88C, 31.06C, 28.19C
01/11/2024 02:02:40 30.63C, 29.63C, 30.63C, 30.94C, 31.13C, 28.19C
01/11/2024 02:02:43 30.63C, 29.75C, 30.69C, 30.94C, 31.19C, 28.19C
01/11/2024 02:02:45 30.63C, 29.75C, 30.75C, 31.00C, 31.25C, 28.25C
01/11/2024 02:02:48 30.69C, 29.81C, 30.75C, 31.06C, 31.25C, 28.25C
01/11/2024 02:02:50 30.75C, 29.88C, 30.81C, 31.13C, 31.31C, 28.25C
01/11/2024 02:02:52 30.75C, 29.88C, 30.81C, 31.13C, 31.38C, 28.31C
01/11/2024 02:02:55 30.75C, 29.88C, 30.81C, 31.19C, 31.38C, 28.25C
01/11/2024 02:02:57 30.81C, 30.00C, 30.88C, 31.19C, 31.44C, 28.31C
01/11/2024 02:03:00 30.88C, 30.00C, 30.94C, 31.25C, 31.50C, 28.31C
01/11/2024 02:03:02 30.88C, 30.06C, 30.94C, 31.25C, 31.56C, 28.31C
01/11/2024 02:03:05 30.94C, 30.13C, 30.94C, 31.31C, 31.56C, 28.38C
01/11/2024 02:03:07 30.94C, 30.19C, 31.00C, 31.31C, 31.63C, 28.38C
01/11/2024 02:03:09 30.94C, 30.19C, 31.00C, 31.38C, 31.69C, 28.38C
01/11/2024 02:03:12 31.00C, 30.25C, 31.00C, 31.38C, 31.69C, 28.38C
01/11/2024 02:03:14 31.00C, 30.25C, 31.06C, 31.44C, 31.69C, 28.44C
01/11/2024 02:03:17 31.06C, 30.31C, 31.06C, 31.50C, 31.75C, 28.44C
01/11/2024 02:03:19 31.06C, 30.38C, 31.13C, 31.56C, 31.81C, 28.44C
01/11/2024 02:03:21 31.06C, 30.44C, 31.13C, 31.56C, 31.88C, 28.44C
01/11/2024 02:03:24 31.13C, 30.44C, 31.19C, 31.63C, 31.88C, 28.50C
01/11/2024 02:03:26 31.13C, 30.44C, 31.19C, 31.63C, 31.88C, 28.50C
01/11/2024 02:03:29 31.13C, 30.50C, 31.25C, 31.69C, 31.94C, 28.50C
01/11/2024 02:03:31 31.19C, 30.50C, 31.25C, 31.75C, 31.94C, 28.56C
