01/11/2024 17:48:44 26.31C, 26.00C, 25.81C, 26.00C, 26.00C, 25.81C
01/11/2024 17:48:46 26.31C, 26.06C, 25.81C, 25.94C, 26.00C, 25.75C
01/11/2024 17:48:49 26.25C, 26.00C, 25.75C, 25.94C, 25.94C, 25.75C
01/11/2024 17:48:51 26.25C, 25.94C, 25.75C, 25.94C, 25.94C, 25.69C
01/11/2024 17:48:53 26.25C, 25.94C, 25.69C, 25.94C, 25.94C, 25.69C
01/11/2024 17:48:56 26.19C, 25.94C, 25.75C, 25.94C, 25.88C, 25.69C
01/11/2024 17:48:58 26.13C, 25.88C, 25.69C, 25.88C, 25.88C, 25.63C
01/11/2024 17:49:01 26.13C, 25.88C, 25.69C, 25.88C, 25.81C, 25.63C
01/11/2024 17:49:03 26.13C, 25.81C, 25.63C, 25.88C, 25.81C, 25.56C
01/11/2024 17:49:06 26.06C, 25.81C, 25.63C, 25.88C, 25.75C, 25.56C
01/11/2024 17:49:08 26.06C, 25.75C, 25.63C, 25.81C, 25.75C, 25.50C
01/11/2024 17:49:10 26.00C, 25.75C, 25.56C, 25.81C, 25.75C, 25.50C
01/11/2024 17:49:13 26.00C, 25.69C, 25.56C, 25.81C, 25.69C, 25.50C
01/11/2024 17:49:15 25.94C, 25.69C, 25.56C, 25.75C, 25.69C, 25.50C
01/11/2024 17:49:18 25.94C, 25.69C, 25.50C, 25.75C, 25.69C, 25.44C
01/11/2024 17:49:20 25.88C, 25.63C, 25.50C, 25.75C, 25.69C, 25.44C
01/11/2024 17:49:22 25.88C, 25.63C, 25.50C, 25.75C, 25.63C, 25.44C
01/11/2024 17:49:25 25.88C, 25.56C, 25.44C, 25.69C, 25.63C, 25.44C
01/11/2024 17:49:27 25.81C, 25.56C, 25.44C, 25.69C, 25.63C, 25.38C
01/11/2024 17:49:30 25.81C, 25.56C, 25.38C, 25.69C, 25.56C, 25.31C
01/11/2024 17:49:32 25.81C, 25.50C, 25.38C, 25.63C, 25.56C, 25.31C
01/11/2024 17:49:35 25.75C, 25.44C, 25.38C, 25.69C, 25.56C, 25.31C
01/11/2024 17:49:37 25.69C, 25.44C, 25.38C, 25.63C, 25.50C, 25.31C
01/11/2024 17:49:39 25.75C, 25.44C, 25.31C, 25.63C, 25.50C, 25.25C
01/11/2024 17:49:42 25.69C, 25.44C, 25.31C, 25.63C, 25.50C, 25.25C
01/11/2024 17:49:44 25.69C, 25.38C, 25.31C, 25.63C, 25.50C, 25.25C
01/11/2024 17:49:47 25.63C, 25.38C, 25.25C, 25.63C, 25.50C, 25.25C
01/11/2024 17:49:49 25.63C, 25.38C, 25.31C, 25.56C, 25.50C, 25.25C
01/11/2024 17:49:52 25.56C, 25.38C, 25.25C, 25.56C, 25.44C, 25.19C
01/11/2024 17:49:54 25.56C, 25.31C, 25.25C, 25.56C, 25.44C, 25.19C
01/11/2024 17:49:56 25.56C, 25.31C, 25.25C, 25.50C, 25.38C, 25.19C
01/11/2024 17:49:59 25.56C, 25.31C, 25.19C, 25.50C, 25.38C, 25.13C
01/11/2024 17:50:01 25.50C, 25.25C, 25.19C, 25.50C, 25.38C, 25.13C
01/11/2024 17:50:04 25.50C, 25.25C, 25.19C, 25.50C, 25.38C, 25.13C
01/11/2024 17:50:06 25.50C, 25.25C, 25.19C, 25.50C, 25.38C, 25.13C
01/11/2024 17:50:08 25.44C, 25.19C, 25.13C, 25.50C, 25.31C, 25.13C
01/11/2024 17:50:11 25.44C, 25.19C, 25.13C, 25.44C, 25.38C, 25.13C
01/11/2024 17:50:13 25.44C, 25.19C, 25.13C, 25.44C, 25.31C, 25.06C
01/11/2024 17:50:16 25.38C, 25.19C, 25.13C, 25.44C, 25.31C, 25.06C
01/11/2024 17:50:18 25.38C, 25.13C, 25.06C, 25.44C, 25.31C, 25.06C
01/11/2024 17:50:21 25.38C, 25.13C, 25.06C, 25.44C, 25.25C, 25.00C
01/11/2024 17:50:23 25.38C, 25.13C, 25.06C, 25.38C, 25.31C, 25.06C
01/11/2024 17:50:25 25.38C, 25.13C, 25.06C, 25.38C, 25.25C, 25.00C
01/11/2024 17:50:28 25.31C, 25.13C, 25.06C, 25.38C, 25.25C, 25.06C
01/11/2024 17:50:30 25.31C, 25.13C, 25.06C, 25.44C, 25.31C, 25.06C
