01/11/2024 19:19:54 25.75C, 26.06C, 25.19C, 26.94C, 25.94C, 26.13C
01/11/2024 19:19:57 25.75C, 26.06C, 25.25C, 26.94C, 25.94C, 26.13C
01/11/2024 19:19:59 25.75C, 26.06C, 25.19C, 26.94C, 26.00C, 26.13C
01/11/2024 19:20:02 25.75C, 26.06C, 25.25C, 26.94C, 25.94C, 26.13C
01/11/2024 19:20:04 25.75C, 26.06C, 25.19C, 26.94C, 25.94C, 26.13C
01/11/2024 19:20:06 25.75C, 26.06C, 25.19C, 26.94C, 25.94C, 26.13C
01/11/2024 19:20:09 25.75C, 26.06C, 25.19C, 26.94C, 25.94C, 26.13C
01/11/2024 19:20:11 25.75C, 26.06C, 25.19C, 26.94C, 25.94C, 26.13C
01/11/2024 19:20:14 25.75C, 26.06C, 25.19C, 27.13C, 25.94C, 26.13C
01/11/2024 19:20:16 25.75C, 26.06C, 25.19C, 27.25C, 25.94C, 26.13C
01/11/2024 19:20:19 25.81C, 26.00C, 25.25C, 27.31C, 26.00C, 26.06C
01/11/2024 19:20:21 25.81C, 26.06C, 25.19C, 27.38C, 26.00C, 26.06C
01/11/2024 19:20:23 25.81C, 26.06C, 25.19C, 27.38C, 26.06C, 26.06C
01/11/2024 19:20:26 25.81C, 26.00C, 25.19C, 27.44C, 26.06C, 26.06C
01/11/2024 19:20:28 25.81C, 26.00C, 25.19C, 27.44C, 26.06C, 26.06C
01/11/2024 19:20:31 25.88C, 26.00C, 25.19C, 27.44C, 26.06C, 26.06C
01/11/2024 19:20:33 25.81C, 26.00C, 25.19C, 27.44C, 26.13C, 26.06C
01/11/2024 19:20:36 25.81C, 26.00C, 25.19C, 27.44C, 26.13C, 26.06C
01/11/2024 19:20:38 25.81C, 26.00C, 25.25C, 27.38C, 26.13C, 26.06C
01/11/2024 19:20:40 25.81C, 26.00C, 25.19C, 27.38C, 26.13C, 26.06C
01/11/2024 19:20:43 25.81C, 26.00C, 25.19C, 27.38C, 26.13C, 26.06C
01/11/2024 19:20:45 25.81C, 26.00C, 25.19C, 27.38C, 26.13C, 26.06C
01/11/2024 19:20:48 25.81C, 26.00C, 25.19C, 27.38C, 26.13C, 26.06C
01/11/2024 19:20:50 25.81C, 26.00C, 25.19C, 27.31C, 26.06C, 26.06C
01/11/2024 19:20:52 25.81C, 26.00C, 25.19C, 27.31C, 26.06C, 26.00C
01/11/2024 19:20:55 25.81C, 26.00C, 25.19C, 27.31C, 26.06C, 26.00C
01/11/2024 19:20:57 25.81C, 26.00C, 25.19C, 27.25C, 26.06C, 26.06C
01/11/2024 19:21:00 25.81C, 26.00C, 25.13C, 27.25C, 26.06C, 26.00C
01/11/2024 19:21:02 25.75C, 26.00C, 25.19C, 27.25C, 26.06C, 26.00C
01/11/2024 19:21:05 25.81C, 25.94C, 25.19C, 27.19C, 26.06C, 26.00C
01/11/2024 19:21:07 25.81C, 25.94C, 25.13C, 27.19C, 26.06C, 26.00C
01/11/2024 19:21:09 25.75C, 25.94C, 25.19C, 27.19C, 26.06C, 26.00C
01/11/2024 19:21:12 25.81C, 26.00C, 25.19C, 27.19C, 26.06C, 26.00C
01/11/2024 19:21:14 25.81C, 25.94C, 25.13C, 27.19C, 26.06C, 26.00C
01/11/2024 19:21:17 25.75C, 25.94C, 25.13C, 27.19C, 26.00C, 26.00C
01/11/2024 19:21:19 25.75C, 25.94C, 25.13C, 27.19C, 26.00C, 26.00C
01/11/2024 19:21:22 25.75C, 25.94C, 25.13C, 27.13C, 26.00C, 26.00C
01/11/2024 19:21:24 25.75C, 25.94C, 25.13C, 27.13C, 26.06C, 26.00C
01/11/2024 19:21:26 25.75C, 25.94C, 25.19C, 27.13C, 26.06C, 26.06C
01/11/2024 19:21:29 25.81C, 26.00C, 25.19C, 27.13C, 26.06C, 26.13C
01/11/2024 19:21:31 25.81C, 26.00C, 25.25C, 27.19C, 26.13C, 26.13C
01/11/2024 19:21:34 25.81C, 26.00C, 25.25C, 27.19C, 26.13C, 26.19C
01/11/2024 19:21:36 25.88C, 26.06C, 25.25C, 27.25C, 26.19C, 26.25C
01/11/2024 19:21:38 25.88C, 26.13C, 25.31C, 27.25C, 26.25C, 26.38C
01/11/2024 19:21:41 25.88C, 26.19C, 25.38C, 27.31C, 26.25C, 26.44C
01/11/2024 19:21:43 25.94C, 26.19C, 25.44C, 27.38C, 26.38C, 26.50C
01/11/2024 19:21:46 26.00C, 26.25C, 25.50C, 27.44C, 26.44C, 26.56C
01/11/2024 19:21:48 26.06C, 26.31C, 25.50C, 27.44C, 26.50C, 26.63C
01/11/2024 19:21:51 26.13C, 26.38C, 25.63C, 27.50C, 26.56C, 26.69C
01/11/2024 19:21:53 26.19C, 26.44C, 25.69C, 27.56C, 26.63C, 26.75C
01/11/2024 19:21:55 26.25C, 26.56C, 25.69C, 27.63C, 26.69C, 26.88C
01/11/2024 19:21:58 26.31C, 26.56C, 25.81C, 27.69C, 26.81C, 26.94C
01/11/2024 19:22:00 26.38C, 26.63C, 25.88C, 27.81C, 26.88C, 27.00C
01/11/2024 19:22:03 26.38C, 26.75C, 25.94C, 27.81C, 26.94C, 27.13C
01/11/2024 19:22:05 26.44C, 26.81C, 26.00C, 27.94C, 27.06C, 27.19C
01/11/2024 19:22:08 26.56C, 26.94C, 26.13C, 27.94C, 27.13C, 27.31C
01/11/2024 19:22:10 26.63C, 27.00C, 26.19C, 28.06C, 27.19C, 27.38C
01/11/2024 19:22:12 26.69C, 27.06C, 26.31C, 28.13C, 27.31C, 27.44C
01/11/2024 19:22:15 26.75C, 27.13C, 26.38C, 28.19C, 27.44C, 27.56C
01/11/2024 19:22:17 26.88C, 27.25C, 26.44C, 28.25C, 27.50C, 27.63C
01/11/2024 19:22:20 26.88C, 27.31C, 26.50C, 28.31C, 27.56C, 27.75C
01/11/2024 19:22:22 27.00C, 27.38C, 26.56C, 28.38C, 27.69C, 27.81C
01/11/2024 19:22:25 27.06C, 27.50C, 26.69C, 28.44C, 27.75C, 27.94C
01/11/2024 19:22:27 27.13C, 27.50C, 26.75C, 28.56C, 27.88C, 28.00C
01/11/2024 19:22:29 27.19C, 27.63C, 26.81C, 28.56C, 27.94C, 28.06C
01/11/2024 19:22:32 27.31C, 27.69C, 26.94C, 28.69C, 28.06C, 28.13C
01/11/2024 19:22:34 27.38C, 27.75C, 27.00C, 28.75C, 28.13C, 28.25C
01/11/2024 19:22:37 27.44C, 27.88C, 27.06C, 28.81C, 28.25C, 28.31C
01/11/2024 19:22:39 27.50C, 27.94C, 27.19C, 28.88C, 28.31C, 28.44C
01/11/2024 19:22:41 27.56C, 28.00C, 27.25C, 28.94C, 28.38C, 28.50C
01/11/2024 19:22:44 27.69C, 28.06C, 27.25C, 29.00C, 28.50C, 28.56C
01/11/2024 19:22:46 27.81C, 28.19C, 27.38C, 29.06C, 28.56C, 28.63C
01/11/2024 19:22:49 27.88C, 28.25C, 27.44C, 29.13C, 28.69C, 28.75C
01/11/2024 19:22:51 27.94C, 28.31C, 27.56C, 29.19C, 28.81C, 28.81C
01/11/2024 19:22:54 28.00C, 28.38C, 27.56C, 29.25C, 28.88C, 28.88C
01/11/2024 19:22:56 28.13C, 28.44C, 27.69C, 29.31C, 28.94C, 29.00C
01/11/2024 19:22:58 28.19C, 28.50C, 27.75C, 29.38C, 29.00C, 29.06C
01/11/2024 19:23:01 28.25C, 28.56C, 27.81C, 29.44C, 29.13C, 29.13C
01/11/2024 19:23:03 28.31C, 28.63C, 27.88C, 29.44C, 29.19C, 29.19C
01/11/2024 19:23:06 28.38C, 28.69C, 27.94C, 29.56C, 29.31C, 29.25C
01/11/2024 19:23:08 28.50C, 28.75C, 28.00C, 29.63C, 29.38C, 29.31C
01/11/2024 19:23:11 28.50C, 28.81C, 28.06C, 29.63C, 29.44C, 29.38C
01/11/2024 19:23:13 28.63C, 28.88C, 28.13C, 29.69C, 29.56C, 29.44C
01/11/2024 19:23:15 28.75C, 28.94C, 28.25C, 29.75C, 29.63C, 29.56C
01/11/2024 19:23:18 28.75C, 29.00C, 28.25C, 29.81C, 29.69C, 29.63C
01/11/2024 19:23:20 28.88C, 29.06C, 28.38C, 29.81C, 29.81C, 29.63C
01/11/2024 19:23:23 28.94C, 29.13C, 28.38C, 29.88C, 29.88C, 29.75C
01/11/2024 19:23:25 29.00C, 29.19C, 28.44C, 29.94C, 29.94C, 29.81C
01/11/2024 19:23:27 29.06C, 29.25C, 28.50C, 30.00C, 30.06C, 29.88C
01/11/2024 19:23:30 29.13C, 29.31C, 28.63C, 30.00C, 30.13C, 29.94C
01/11/2024 19:23:32 29.19C, 29.31C, 28.69C, 30.06C, 30.19C, 30.00C
01/11/2024 19:23:35 29.31C, 29.44C, 28.69C, 30.13C, 30.25C, 30.06C
01/11/2024 19:23:37 29.31C, 29.44C, 28.75C, 30.19C, 30.38C, 30.13C
01/11/2024 19:23:40 29.38C, 29.50C, 28.81C, 30.25C, 30.44C, 30.13C
01/11/2024 19:23:42 29.50C, 29.56C, 28.94C, 30.25C, 30.50C, 30.19C
01/11/2024 19:23:44 29.56C, 29.56C, 28.94C, 30.31C, 30.56C, 30.25C
01/11/2024 19:23:47 29.63C, 29.63C, 29.00C, 30.38C, 30.63C, 30.31C
01/11/2024 19:23:49 29.69C, 29.69C, 29.06C, 30.38C, 30.69C, 30.38C
01/11/2024 19:23:52 29.75C, 29.69C, 29.13C, 30.44C, 30.75C, 30.44C
01/11/2024 19:23:54 29.81C, 29.75C, 29.19C, 30.50C, 30.88C, 30.50C
01/11/2024 19:23:56 29.88C, 29.81C, 29.25C, 30.50C, 30.94C, 30.50C
01/11/2024 19:23:59 29.94C, 29.81C, 29.25C, 30.56C, 31.00C, 30.56C
01/11/2024 19:24:01 30.00C, 29.88C, 29.38C, 30.63C, 31.06C, 30.63C
01/11/2024 19:24:04 30.06C, 29.94C, 29.44C, 30.63C, 31.13C, 30.63C
01/11/2024 19:24:06 30.13C, 29.94C, 29.44C, 30.63C, 31.19C, 30.69C
01/11/2024 19:24:09 30.19C, 30.00C, 29.50C, 30.69C, 31.25C, 30.75C
01/11/2024 19:24:11 30.25C, 30.06C, 29.56C, 30.75C, 31.31C, 30.81C
01/11/2024 19:24:13 30.31C, 30.06C, 29.63C, 30.75C, 31.38C, 30.88C
01/11/2024 19:24:16 30.38C, 30.13C, 29.63C, 30.81C, 31.44C, 30.94C
01/11/2024 19:24:18 30.44C, 30.13C, 29.75C, 30.81C, 31.50C, 30.94C
01/11/2024 19:24:21 30.56C, 30.19C, 29.81C, 30.88C, 31.56C, 30.94C
01/11/2024 19:24:23 30.63C, 30.19C, 29.81C, 30.88C, 31.63C, 31.00C
01/11/2024 19:24:26 30.63C, 30.25C, 29.88C, 30.88C, 31.69C, 31.06C
01/11/2024 19:24:28 30.69C, 30.25C, 29.88C, 30.94C, 31.69C, 31.06C
01/11/2024 19:24:30 30.75C, 30.31C, 29.94C, 30.94C, 31.75C, 31.06C
01/11/2024 19:24:33 30.81C, 30.31C, 30.00C, 31.00C, 31.81C, 31.13C
01/11/2024 19:24:35 30.88C, 30.38C, 30.06C, 31.06C, 31.88C, 31.13C
01/11/2024 19:24:38 30.88C, 30.38C, 30.06C, 31.06C, 32.00C, 31.25C
01/11/2024 19:24:40 30.94C, 30.44C, 30.13C, 31.13C, 32.00C, 31.25C
01/11/2024 19:24:42 31.00C, 30.44C, 30.13C, 31.13C, 32.06C, 31.31C
01/11/2024 19:24:45 31.06C, 30.50C, 30.25C, 31.19C, 32.13C, 31.31C
01/11/2024 19:24:47 31.13C, 30.50C, 30.25C, 31.19C, 32.19C, 31.38C
01/11/2024 19:24:50 31.13C, 30.56C, 30.31C, 31.19C, 32.25C, 31.44C
01/11/2024 19:24:52 31.19C, 30.56C, 30.38C, 31.25C, 32.25C, 31.44C
01/11/2024 19:24:55 31.19C, 30.63C, 30.44C, 31.25C, 32.31C, 31.44C
01/11/2024 19:24:57 31.25C, 30.63C, 30.44C, 31.31C, 32.38C, 31.50C
01/11/2024 19:24:59 31.25C, 30.69C, 30.50C, 31.38C, 32.44C, 31.56C
01/11/2024 19:25:02 31.31C, 30.69C, 30.50C, 31.38C, 32.50C, 31.56C
01/11/2024 19:25:04 31.38C, 30.75C, 30.50C, 31.38C, 32.56C, 31.56C
01/11/2024 19:25:07 31.44C, 30.75C, 30.56C, 31.44C, 32.56C, 31.63C
01/11/2024 19:25:09 31.50C, 30.81C, 30.63C, 31.44C, 32.63C, 31.63C
01/11/2024 19:25:12 31.50C, 30.81C, 30.69C, 31.50C, 32.69C, 31.69C
01/11/2024 19:25:14 31.50C, 30.81C, 30.69C, 31.50C, 32.75C, 31.75C
01/11/2024 19:25:16 31.63C, 30.88C, 30.75C, 31.56C, 32.81C, 31.75C
01/11/2024 19:25:19 31.63C, 30.88C, 30.75C, 31.56C, 32.81C, 31.81C
01/11/2024 19:25:21 31.69C, 30.88C, 30.81C, 31.56C, 32.88C, 31.81C
01/11/2024 19:25:24 31.75C, 30.94C, 30.81C, 31.56C, 32.94C, 31.81C
01/11/2024 19:25:26 31.75C, 30.94C, 30.88C, 31.56C, 33.00C, 31.88C
01/11/2024 19:25:28 31.81C, 31.00C, 30.88C, 31.63C, 33.00C, 31.88C
01/11/2024 19:25:31 31.81C, 31.00C, 30.88C, 31.63C, 33.06C, 31.94C
01/11/2024 19:25:33 31.88C, 31.06C, 30.94C, 31.63C, 33.13C, 31.94C
01/11/2024 19:25:36 31.94C, 31.06C, 30.94C, 31.69C, 33.19C, 32.00C
01/11/2024 19:25:38 31.94C, 31.06C, 30.94C, 31.69C, 33.19C, 32.00C
01/11/2024 19:25:41 32.00C, 31.06C, 31.00C, 31.75C, 33.25C, 32.00C
01/11/2024 19:25:43 32.06C, 31.06C, 31.00C, 31.75C, 33.31C, 32.00C
01/11/2024 19:25:45 32.06C, 31.06C, 31.06C, 31.75C, 33.31C, 32.06C
01/11/2024 19:25:48 32.13C, 31.13C, 31.06C, 31.81C, 33.38C, 32.06C
01/11/2024 19:25:50 32.13C, 31.13C, 31.06C, 31.81C, 33.44C, 32.06C
01/11/2024 19:25:53 32.19C, 31.13C, 31.13C, 31.81C, 33.44C, 32.13C
01/11/2024 19:25:55 32.19C, 31.19C, 31.13C, 31.81C, 33.56C, 32.19C
01/11/2024 19:25:58 32.25C, 31.19C, 31.19C, 31.81C, 33.56C, 32.19C
01/11/2024 19:26:00 32.25C, 31.19C, 31.19C, 31.88C, 33.56C, 32.25C
01/11/2024 19:26:02 32.31C, 31.25C, 31.19C, 31.88C, 33.63C, 32.25C
